File Name,Num Agents,Iterations,Time Limit,Replicate,List,Run,Result,Execution Time (s),Test Passed
1_3_inf_1.py,1,3,inf,1,1,1,95931,1.3397941002622247,True
1_3_inf_1.py,1,3,inf,1,1,2,95931,3.328654299955815,True
1_3_inf_1.py,1,3,inf,1,2,1,95931,3.3109090998768806,True
1_3_inf_1.py,1,3,inf,1,2,2,95931,3.3321940996684134,True
1_3_inf_2.py,1,3,inf,2,1,1,0,3.639981150627136e-05,False
1_3_inf_2.py,1,3,inf,2,1,2,0,1.910002902150154e-05,False
1_3_inf_2.py,1,3,inf,2,2,1,0,2.8600450605154037e-05,False
1_3_inf_2.py,1,3,inf,2,2,2,0,2.8700102120637894e-05,False
1_8_inf_1.py,1,8,inf,1,1,1,95931,3.2211617003194988,True
1_8_inf_1.py,1,8,inf,1,1,2,95931,3.4657926000654697,True
1_8_inf_1.py,1,8,inf,1,2,1,95931,3.446709199808538,True
1_8_inf_1.py,1,8,inf,1,2,2,95931,3.6283148997463286,True
1_8_inf_2.py,1,8,inf,2,1,1,95931,1.389041599817574,True
1_8_inf_2.py,1,8,inf,2,1,2,95931,1.5863144001923501,True
1_8_inf_2.py,1,8,inf,2,2,1,95931,1.3695261999964714,True
1_8_inf_2.py,1,8,inf,2,2,2,95931,1.345716499723494,True
1_inf_120_1.py,1,inf,120,1,1,1,95931,0.40534469997510314,True
1_inf_120_1.py,1,inf,120,1,1,2,95931,0.45464809983968735,True
1_inf_120_1.py,1,inf,120,1,2,1,95931,0.356540699955076,True
1_inf_120_1.py,1,inf,120,1,2,2,95931,0.42420569993555546,True
1_inf_120_2.py,1,inf,120,2,1,1,95931,1.1551692998036742,True
1_inf_120_2.py,1,inf,120,2,1,2,95931,1.2000182997435331,True
1_inf_120_2.py,1,inf,120,2,2,1,95931,1.224902699701488,True
1_inf_120_2.py,1,inf,120,2,2,2,95931,1.2474630000069737,True
1_inf_60_1.py,1,inf,60,1,1,1,95931,1.1894731000065804,True
1_inf_60_1.py,1,inf,60,1,1,2,95931,1.3722815001383424,True
1_inf_60_1.py,1,inf,60,1,2,1,95931,1.3486003000289202,True
1_inf_60_1.py,1,inf,60,1,2,2,95931,1.283076699823141,True
1_inf_60_2.py,1,inf,60,2,1,1,95931,3.2724581002257764,True
1_inf_60_2.py,1,inf,60,2,1,2,95931,3.0798765998333693,True
1_inf_60_2.py,1,inf,60,2,2,1,95931,3.390320999547839,True
1_inf_60_2.py,1,inf,60,2,2,2,95931,3.4337956001982093,True
2_3_inf_1.py,2,3,inf,1,1,1,95931,1.0323447003029287,True
2_3_inf_1.py,2,3,inf,1,1,2,95931,1.1895794002339244,True
2_3_inf_1.py,2,3,inf,1,2,1,95931,1.4567041001282632,True
2_3_inf_1.py,2,3,inf,1,2,2,95931,1.348744099959731,True
2_3_inf_2.py,2,3,inf,2,1,1,95931,1.495113500393927,True
2_3_inf_2.py,2,3,inf,2,1,2,95931,1.5122082000598311,True
2_3_inf_2.py,2,3,inf,2,2,1,95931,1.4357330999337137,True
2_3_inf_2.py,2,3,inf,2,2,2,95931,1.507321999873966,True
2_8_inf_1.py,2,8,inf,1,1,1,95931,3.260212699882686,True
2_8_inf_1.py,2,8,inf,1,1,2,95931,3.364048699848354,True
2_8_inf_1.py,2,8,inf,1,2,1,95931,3.1724686003290117,True
2_8_inf_1.py,2,8,inf,1,2,2,95931,3.3054909999482334,True
2_8_inf_2.py,2,8,inf,2,1,1,95931,1.0340571999549866,True
2_8_inf_2.py,2,8,inf,2,1,2,95931,1.281541199889034,True
2_8_inf_2.py,2,8,inf,2,2,1,95931,1.2252990999259055,True
2_8_inf_2.py,2,8,inf,2,2,2,95931,1.18839929997921,True
2_inf_120_1.py,2,inf,120,1,1,1,95931,1.4693178003653884,True
2_inf_120_1.py,2,inf,120,1,1,2,95931,1.5789025998674333,True
2_inf_120_1.py,2,inf,120,1,2,1,95931,1.6031760000623763,True
2_inf_120_1.py,2,inf,120,1,2,2,95931,1.6761767999269068,True
2_inf_120_2.py,2,inf,120,2,1,1,95931,1.3729765000753105,True
2_inf_120_2.py,2,inf,120,2,1,2,95931,1.5000194003805518,True
2_inf_120_2.py,2,inf,120,2,2,1,95931,1.385854299645871,True
2_inf_120_2.py,2,inf,120,2,2,2,95931,1.344750199932605,True
2_inf_60_1.py,2,inf,60,1,1,1,95931,1.3124969000928104,True
2_inf_60_1.py,2,inf,60,1,1,2,95931,1.390860500279814,True
2_inf_60_1.py,2,inf,60,1,2,1,95931,1.3607287998311222,True
2_inf_60_1.py,2,inf,60,1,2,2,95931,1.346315000206232,True
3_3_inf_1.py,3,3,inf,1,1,1,95931,1.1697832001373172,True
3_3_inf_1.py,3,3,inf,1,1,2,95931,1.2172360001131892,True
3_3_inf_1.py,3,3,inf,1,2,1,95931,1.223897300194949,True
3_3_inf_1.py,3,3,inf,1,2,2,95931,1.1466429000720382,True
3_3_inf_2.py,3,3,inf,2,1,1,95931,1.2874427000060678,True
3_3_inf_2.py,3,3,inf,2,1,2,95931,1.4200464999303222,True
3_3_inf_2.py,3,3,inf,2,2,1,95931,1.3414422003552318,True
3_3_inf_2.py,3,3,inf,2,2,2,95931,1.4503526003099978,True
3_8_inf_1.py,3,8,inf,1,1,1,95931,1.4357169000431895,True
3_8_inf_1.py,3,8,inf,1,1,2,95931,1.3135473998263478,True
3_8_inf_1.py,3,8,inf,1,2,1,95931,1.387734199874103,True
3_8_inf_1.py,3,8,inf,1,2,2,95931,1.328415900003165,True
3_8_inf_2.py,3,8,inf,2,1,1,95931,1.1315960995852947,True
3_8_inf_2.py,3,8,inf,2,1,2,95931,1.2522920998744667,True
